"Month","Day","Year","Time","Flux","Temperature (C)","Soil sig","Soil STD","ATM sig","ATM STD","Mode","Soil VR","Soil VA","ATM VR","ATM VA"
10,04,22,17:29:38,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,04,22,17:30:00,   0.33,  22.1,  485.25,   7.880,  465.66,  74.085,0,1.99910,1.83493,1.99923,1.82526
10,04,22,17:40:00,   0.01,  26.8,  445.71,   2.197,  444.86,   2.217,0,2.00085,1.83543,2.00060,1.83572
10,04,22,17:49:22,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,04,22,17:50:00,   0.11,  28.0,  445.69,   1.834,  438.94,   7.182,0,2.00181,1.83464,2.00181,1.83501
10,04,22,18:00:22,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,04,22,18:00:41,   0.29,  27.8,  451.70,   3.807,  434.38,  10.739,0,2.00269,1.83447,2.00269,1.83614
10,04,22,18:10:00,   0.17,  29.4,  459.77,  11.987,  449.61,   2.986,0,2.00377,1.83151,2.00339,1.83414
10,04,22,18:18:08,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
10,04,22,18:21:28,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,04,22,18:21:51,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
10,14,22,17:30:51,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,14,22,17:31:10,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
10,14,22,17:31:17,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
10,14,22,16:45:29,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,14,22,16:46:14,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,14,22,16:52:57,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,14,22,16:56:29,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,14,22,17:00:00,   0.07,  28.0,  499.26,   4.470,  495.09,   4.845,0,2.00194,1.82956,2.00169,1.83006
10,14,22,17:05:00,   0.06,  28.5,  478.44,   3.332,  474.72,   4.534,0,2.00256,1.83118,2.00235,1.83197
10,14,22,17:15:35,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,15,22,10:18:42,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,15,22,10:20:00,  -0.52,  22.9,  267.82,   2.536,  298.34,  11.581,0,1.99744,1.85435,1.99727,1.85456
10,15,22,10:25:00,  -0.31,  25.3,  252.55,   4.245,  270.60,   5.452,0,1.99839,1.85526,1.99781,1.85368
10,15,22,10:30:00,  -0.10,  26.0,  249.89,   2.921,  256.00,   5.292,0,1.99910,1.85510,1.99902,1.85497
10,15,22,10:35:00,  -0.02,  26.2,  252.56,   3.468,  253.50,   2.700,0,1.99952,1.85547,1.99931,1.85493
10,15,22,10:40:00,  -0.07,  26.2,  251.05,   3.707,  255.14,   3.241,0,1.99981,1.85576,1.99964,1.85535
10,15,22,10:45:00,   0.03,  26.0,  252.76,   4.110,  251.25,   3.936,0,2.00056,1.85606,1.99902,1.85543
10,15,22,10:50:00,   0.02,  25.8,  257.35,   3.553,  256.09,   1.816,0,2.00060,1.85602,1.99977,1.85543
10,15,22,10:55:00,  -0.22,  25.8,  249.28,   5.941,  262.57,   7.734,0,1.99989,1.85651,2.00014,1.85347
10,15,22,11:00:00,  -0.13,  26.2,  230.49,   3.582,  238.42,   2.958,0,1.99948,1.85731,1.99998,1.85685
10,15,22,11:05:00,  -0.05,  26.0,  226.25,   4.572,  229.25,   2.702,0,1.99869,1.85785,1.99923,1.85756
10,15,22,11:10:00,  -0.06,  25.2,  224.79,   2.658,  228.16,   3.837,0,1.99719,1.85789,1.99781,1.85747
10,15,22,11:15:00,  -0.02,  24.2,  226.20,   2.319,  227.68,   1.494,0,1.99639,1.85822,1.99673,1.85789
10,15,22,11:20:00,  -0.07,  23.2,  224.34,   1.878,  228.65,   3.305,0,1.99519,1.85868,1.99585,1.85856
10,15,22,11:25:00,  -0.05,  22.1,  228.25,   2.960,  231.36,   3.143,0,1.99469,1.85918,1.99464,1.85881
10,15,22,11:30:00,  -0.06,  21.2,  229.74,   2.448,  233.38,   1.351,0,1.99352,1.85935,1.99402,1.85868
10,15,22,11:35:00,  -0.03,  20.5,  231.88,   2.749,  233.73,   2.149,0,1.99289,1.85956,1.99331,1.85922
10,15,22,11:40:00,   0.04,  19.8,  238.68,   2.280,  236.31,   2.608,0,1.99189,1.85889,1.99264,1.85918
10,15,22,11:45:00,  -0.01,  19.2,  237.43,   1.805,  237.82,   2.237,0,1.99152,1.85922,1.99177,1.85931
10,15,22,11:50:00,   0.11,  18.9,  243.08,   2.486,  236.78,   4.833,0,1.99148,1.85885,1.99135,1.85989
10,15,22,11:55:00,   0.09,  18.5,  244.93,   2.456,  239.42,   2.737,0,1.99114,1.85856,1.99106,1.85952
10,15,22,12:00:00,  -0.09,  18.1,  236.08,   1.887,  241.22,   3.157,0,1.99052,1.85968,1.99044,1.85939
10,15,22,12:06:15,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
10,15,22,12:10:00,  -0.01,  17.3,  241.31,   3.194,  242.01,   2.601,0,1.98952,1.85943,1.98944,1.85935
