Wetland,Date,Start_Time,Transect,Depth_cm
Wetland_01,2023-06-20,10:25,1,36
Wetland_01,2023-06-20,10:25,1,41.2
Wetland_01,2023-06-20,10:25,1,100.5
Wetland_01,2023-06-20,10:25,1,100.67
Wetland_01,2023-06-20,10:25,1,100.5
Wetland_01,2023-06-20,10:25,2,109
Wetland_01,2023-06-20,10:25,2,121
Wetland_01,2023-06-20,10:25,2,136
Wetland_01,2023-06-20,10:25,2,108
Wetland_01,2023-06-20,10:25,2,79
Wetland_01,2023-06-20,10:25,3,49
Wetland_01,2023-06-20,10:25,3,74
Wetland_01,2023-06-20,10:25,3,76
Wetland_01,2023-06-20,10:25,3,59
Wetland_01,2023-06-20,10:25,3,47
Wetland_01,2023-06-20,10:25,4,62
Wetland_01,2023-06-20,10:25,4,70
Wetland_01,2023-06-20,10:25,4,69
Wetland_01,2023-06-20,10:25,4,67
Wetland_01,2023-06-20,10:25,4,56
Wetland_01,2023-06-20,10:25,5,42
Wetland_01,2023-06-20,10:25,5,47
Wetland_01,2023-06-20,10:25,5,56
Wetland_01,2023-06-20,10:25,5,48
Wetland_01,2023-06-20,10:25,5,54
Wetland_02,2023-06-20,11:30,1,13
Wetland_02,2023-06-20,11:30,1,18
Wetland_02,2023-06-20,11:30,1,20.5
Wetland_02,2023-06-20,11:30,1,24
Wetland_02,2023-06-20,11:30,1,19
Wetland_02,2023-06-20,11:30,2,27
Wetland_02,2023-06-20,11:30,2,30
Wetland_02,2023-06-20,11:30,2,30
Wetland_02,2023-06-20,11:30,2,25
Wetland_02,2023-06-20,11:30,2,20
Wetland_02,2023-06-20,11:30,3,20
Wetland_02,2023-06-20,11:30,3,27
Wetland_02,2023-06-20,11:30,3,26
Wetland_02,2023-06-20,11:30,3,25
Wetland_02,2023-06-20,11:30,3,25
Wetland_02,2023-06-20,11:30,4,18
Wetland_02,2023-06-20,11:30,4,27
Wetland_02,2023-06-20,11:30,4,27
Wetland_02,2023-06-20,11:30,4,29
Wetland_02,2023-06-20,11:30,4,20
Wetland_03,2023-06-20,12:45,1,6
Wetland_03,2023-06-20,12:45,1,20
Wetland_03,2023-06-20,12:45,1,5
Wetland_03,2023-06-20,12:45,2,34
Wetland_03,2023-06-20,12:45,2,24
Wetland_03,2023-06-20,12:45,2,43
Wetland_03,2023-06-20,12:45,3,5
Wetland_03,2023-06-20,12:45,3,16
Wetland_03,2023-06-20,12:45,3,37
Wetland_04,2023-06-20,13:15,1,31
Wetland_04,2023-06-20,13:15,1,23
Wetland_04,2023-06-20,13:15,1,15
Wetland_04,2023-06-20,13:15,2,15
Wetland_04,2023-06-20,13:15,2,30
Wetland_04,2023-06-20,13:15,2,20
Wetland_04,2023-06-20,13:15,3,15
Wetland_04,2023-06-20,13:15,3,21
Wetland_04,2023-06-20,13:15,3,18
Wetland_06,2023-06-20,13:45,1,15
Wetland_06,2023-06-20,13:45,1,36
Wetland_06,2023-06-20,13:45,1,28.1
Wetland_06,2023-06-20,13:45,2,26.6
Wetland_06,2023-06-20,13:45,2,30
Wetland_06,2023-06-20,13:45,2,19
Wetland_06,2023-06-20,13:45,3,15
Wetland_06,2023-06-20,13:45,3,16
Wetland_06,2023-06-20,13:45,3,19.4
Wetland_07,2023-06-20,14:00,1,18
Wetland_07,2023-06-20,14:00,1,20
Wetland_07,2023-06-20,14:00,1,20.4
Wetland_07,2023-06-20,14:00,2,23.8
Wetland_07,2023-06-20,14:00,2,21
Wetland_07,2023-06-20,14:00,2,25.8
Wetland_07,2023-06-20,14:00,3,15.6
Wetland_07,2023-06-20,14:00,3,18
Wetland_07,2023-06-20,14:00,3,10
Wetland_07,2023-06-20,14:00,4,8
Wetland_07,2023-06-20,14:00,4,19
Wetland_07,2023-06-20,14:00,4,21
Wetland_11,2023-06-20,14:15,1,21
Wetland_11,2023-06-20,14:15,1,19
Wetland_11,2023-06-20,14:15,1,25
Wetland_08,2023-07-20,16:00,1,61
Wetland_08,2023-07-20,16:00,1,63
Wetland_08,2023-07-20,16:00,1,17
Wetland_08,2023-07-20,16:00,2,16
Wetland_08,2023-07-20,16:00,2,66
Wetland_08,2023-07-20,16:00,2,30
Wetland_08,2023-07-20,16:00,3,35
Wetland_08,2023-07-20,16:00,3,52
Wetland_08,2023-07-20,16:00,3,9
Wetland_10,2023-07-20,16:45,1,40
Wetland_10,2023-07-20,16:45,1,45
Wetland_10,2023-07-20,16:45,1,51
Wetland_10,2023-07-20,16:45,2,34
Wetland_10,2023-07-20,16:45,2,48
Wetland_10,2023-07-20,16:45,2,27
Wetland_10,2023-07-20,16:45,3,14
Wetland_10,2023-07-20,16:45,3,20
Wetland_10,2023-07-20,16:45,3,20
Wetland_05,2023-08-25,14:34,1,35
Wetland_05,2023-08-25,14:34,1,47
Wetland_05,2023-08-25,14:34,1,52
Wetland_05,2023-08-25,14:34,2,38
Wetland_05,2023-08-25,14:34,2,51
Wetland_05,2023-08-25,14:34,2,61
Wetland_05,2023-08-25,14:34,3,15
Wetland_05,2023-08-25,14:34,3,52
Wetland_05,2023-08-25,14:34,3,60
Wetland_09,2023-07-20,17:00,1,30
Wetland_09,2023-07-20,17:00,1,54
Wetland_09,2023-07-20,17:00,1,25
